date,instrument_id,instrument_description,asset_class,price,yield_pct,spread_bps,implied_vol_pct,px_bid,px_ask,px_mid,price_type,source,last_update_utc
2025-02-14,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,64.221556,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-14T06:15:00Z
2025-01-14,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,71.895105,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-14T06:15:00Z
2025-01-15,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,72.256231,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-15T06:15:00Z
2025-01-16,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,72.315334,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-16T06:15:00Z
2025-01-17,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,71.608851,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-17T06:15:00Z
2025-01-20,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,73.177113,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-20T06:15:00Z
2025-01-21,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,73.892434,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-21T06:15:00Z
2025-01-22,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,74.297391,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-22T06:15:00Z
2025-01-23,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,74.560127,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-23T06:15:00Z
2025-01-24,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,75.096342,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-24T06:15:00Z
2025-01-27,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,72.561685,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-27T06:15:00Z
2025-01-28,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,71.868307,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-28T06:15:00Z
2025-01-29,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,68.686608,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-29T06:15:00Z
2025-01-30,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,67.869854,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-30T06:15:00Z
2025-01-31,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,69.558751,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-31T06:15:00Z
2025-02-03,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,70.386963,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-03T06:15:00Z
2025-02-04,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,69.962604,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-04T06:15:00Z
2025-02-05,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,68.631173,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-05T06:15:00Z
2025-02-06,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,68.778042,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-06T06:15:00Z
2025-02-07,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,69.01874,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-07T06:15:00Z
2025-02-10,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,69.109817,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-10T06:15:00Z
2025-02-11,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,66.951783,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-11T06:15:00Z
2025-02-12,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,68.135919,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-12T06:15:00Z
2025-02-13,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,72.195529,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-13T06:15:00Z
2025-02-14,DEMO-CDS-019,Synthetic sovereign five-year CDS,CREDIT,,,71.52338,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-14T06:15:00Z
2025-01-14,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,77.795907,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-14T06:15:00Z
2025-01-15,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,77.960577,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-15T06:15:00Z
2025-01-16,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,77.023712,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-16T06:15:00Z
2025-01-17,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,76.129655,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-17T06:15:00Z
2025-01-20,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,78.513127,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-20T06:15:00Z
2025-01-21,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,77.287926,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-21T06:15:00Z
2025-01-22,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,78.608074,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-22T06:15:00Z
2025-01-23,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,80.949547,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-23T06:15:00Z
2025-01-24,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,82.553897,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-24T06:15:00Z
2025-01-27,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,83.629441,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-27T06:15:00Z
2025-01-28,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,81.663312,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-28T06:15:00Z
2025-01-29,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,80.92849,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-29T06:15:00Z
2025-01-30,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,83.618344,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-30T06:15:00Z
2025-01-31,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,84.601745,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-31T06:15:00Z
2025-02-03,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,84.938256,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-03T06:15:00Z
2025-02-04,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,85.936259,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-04T06:15:00Z
2025-02-05,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,83.567216,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-05T06:15:00Z
2025-02-06,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,80.843061,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-06T06:15:00Z
2025-02-07,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,79.781549,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-07T06:15:00Z
2025-02-10,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,79.11544,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-10T06:15:00Z
2025-02-11,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,81.434098,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-11T06:15:00Z
2025-02-12,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,83.038539,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-12T06:15:00Z
2025-02-13,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,84.02478,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-13T06:15:00Z
2025-02-14,DEMO-CDS-020,Synthetic sovereign five-year CDS,CREDIT,,,84.463898,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-14T06:15:00Z
2025-01-14,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,101.44025,2.295031,83.351496,,101.33881,101.541691,101.44025,CLEAN,SYNTHETIC_GENERATOR,2025-01-14T06:15:00Z
2025-01-15,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,101.027914,2.280562,82.234118,,100.926886,101.128942,101.027914,CLEAN,SYNTHETIC_GENERATOR,2025-01-15T06:15:00Z
2025-01-16,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,99.834446,2.285289,80.17657,,99.734612,99.93428,99.834446,CLEAN,SYNTHETIC_GENERATOR,2025-01-16T06:15:00Z
2025-01-17,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,100.048246,2.28418,78.716219,,99.948198,100.148294,100.048246,CLEAN,SYNTHETIC_GENERATOR,2025-01-17T06:15:00Z
2025-01-20,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,99.381694,2.272271,75.41666,,99.282312,99.481076,99.381694,CLEAN,SYNTHETIC_GENERATOR,2025-01-20T06:15:00Z
2025-01-21,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,97.755126,2.321769,77.61989,,97.657371,97.852881,97.755126,CLEAN,SYNTHETIC_GENERATOR,2025-01-21T06:15:00Z
2025-01-22,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,98.206352,2.320709,78.1496,,98.108146,98.304559,98.206352,CLEAN,SYNTHETIC_GENERATOR,2025-01-22T06:15:00Z
2025-01-23,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,98.268165,2.323692,77.629936,,98.169897,98.366433,98.268165,CLEAN,SYNTHETIC_GENERATOR,2025-01-23T06:15:00Z
2025-01-24,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,98.635705,2.312412,77.608606,,98.53707,98.734341,98.635705,CLEAN,SYNTHETIC_GENERATOR,2025-01-24T06:15:00Z
2025-01-27,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,96.999251,2.346877,75.983006,,96.902252,97.096251,96.999251,CLEAN,SYNTHETIC_GENERATOR,2025-01-27T06:15:00Z
2025-01-28,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,97.56553,2.339581,78.474067,,97.467964,97.663095,97.56553,CLEAN,SYNTHETIC_GENERATOR,2025-01-28T06:15:00Z
2025-01-29,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,97.90284,2.33635,78.337721,,97.804937,98.000743,97.90284,CLEAN,SYNTHETIC_GENERATOR,2025-01-29T06:15:00Z
2025-01-30,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,98.865465,2.360224,79.717076,,98.766599,98.96433,98.865465,CLEAN,SYNTHETIC_GENERATOR,2025-01-30T06:15:00Z
2025-01-31,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,98.329941,2.330326,78.379051,,98.231611,98.428271,98.329941,CLEAN,SYNTHETIC_GENERATOR,2025-01-31T06:15:00Z
2025-02-03,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,97.858873,2.320023,77.639604,,97.761014,97.956731,97.858873,CLEAN,SYNTHETIC_GENERATOR,2025-02-03T06:15:00Z
2025-02-04,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,96.934642,2.308458,76.557353,,96.837707,97.031576,96.934642,CLEAN,SYNTHETIC_GENERATOR,2025-02-04T06:15:00Z
2025-02-05,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,97.201719,2.299987,78.341515,,97.104518,97.298921,97.201719,CLEAN,SYNTHETIC_GENERATOR,2025-02-05T06:15:00Z
2025-02-06,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,96.731891,2.238209,75.958063,,96.635159,96.828623,96.731891,CLEAN,SYNTHETIC_GENERATOR,2025-02-06T06:15:00Z
2025-02-07,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,97.457571,2.239526,77.822774,,97.360114,97.555029,97.457571,CLEAN,SYNTHETIC_GENERATOR,2025-02-07T06:15:00Z
2025-02-10,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,98.776931,2.240934,77.096988,,98.678154,98.875708,98.776931,CLEAN,SYNTHETIC_GENERATOR,2025-02-10T06:15:00Z
2025-02-11,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,98.985225,2.23976,78.179756,,98.88624,99.08421,98.985225,CLEAN,SYNTHETIC_GENERATOR,2025-02-11T06:15:00Z
2025-02-12,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,99.263946,2.333884,79.565519,,99.164682,99.36321,99.263946,CLEAN,SYNTHETIC_GENERATOR,2025-02-12T06:15:00Z
2025-02-13,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,97.939436,2.354284,77.021408,,97.841496,98.037375,97.939436,CLEAN,SYNTHETIC_GENERATOR,2025-02-13T06:15:00Z
2025-02-14,DEMO-CORP-014,Synthetic USD corporate bond,CREDIT,97.342746,2.353189,76.261332,,97.245404,97.440089,97.342746,CLEAN,SYNTHETIC_GENERATOR,2025-02-14T06:15:00Z
2025-01-14,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,104.274302,2.325124,84.854654,,104.170027,104.378576,104.274302,CLEAN,SYNTHETIC_GENERATOR,2025-01-14T06:15:00Z
2025-01-15,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,103.345379,2.319739,82.195332,,103.242033,103.448724,103.345379,CLEAN,SYNTHETIC_GENERATOR,2025-01-15T06:15:00Z
2025-01-16,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,103.725316,2.304979,87.661245,,103.62159,103.829041,103.725316,CLEAN,SYNTHETIC_GENERATOR,2025-01-16T06:15:00Z
2025-01-17,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,103.513532,2.28997,88.619636,,103.410018,103.617046,103.513532,CLEAN,SYNTHETIC_GENERATOR,2025-01-17T06:15:00Z
2025-01-20,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,102.042435,2.284315,87.503913,,101.940393,102.144477,102.042435,CLEAN,SYNTHETIC_GENERATOR,2025-01-20T06:15:00Z
2025-01-21,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,102.954824,2.268587,89.460185,,102.851869,103.057779,102.954824,CLEAN,SYNTHETIC_GENERATOR,2025-01-21T06:15:00Z
2025-01-22,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,102.628236,2.331458,88.676979,,102.525608,102.730864,102.628236,CLEAN,SYNTHETIC_GENERATOR,2025-01-22T06:15:00Z
2025-01-23,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,103.195645,2.330197,88.315537,,103.092449,103.298841,103.195645,CLEAN,SYNTHETIC_GENERATOR,2025-01-23T06:15:00Z
2025-01-24,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,104.22198,2.337079,88.846477,,104.117758,104.326202,104.22198,CLEAN,SYNTHETIC_GENERATOR,2025-01-24T06:15:00Z
2025-01-27,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,104.453278,2.320347,86.524933,,104.348825,104.557731,104.453278,CLEAN,SYNTHETIC_GENERATOR,2025-01-27T06:15:00Z
2025-01-28,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,103.071343,2.344283,88.856499,,102.968271,103.174414,103.071343,CLEAN,SYNTHETIC_GENERATOR,2025-01-28T06:15:00Z
2025-01-29,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,102.894403,2.357249,87.601076,,102.791509,102.997298,102.894403,CLEAN,SYNTHETIC_GENERATOR,2025-01-29T06:15:00Z
2025-01-30,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,101.682359,2.359947,83.755578,,101.580677,101.784041,101.682359,CLEAN,SYNTHETIC_GENERATOR,2025-01-30T06:15:00Z
2025-01-31,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,101.891388,2.39522,83.83803,,101.789496,101.993279,101.891388,CLEAN,SYNTHETIC_GENERATOR,2025-01-31T06:15:00Z
2025-02-03,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,100.728082,2.372326,82.044538,,100.627354,100.82881,100.728082,CLEAN,SYNTHETIC_GENERATOR,2025-02-03T06:15:00Z
2025-02-04,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,99.610472,2.350658,84.515276,,99.510862,99.710083,99.610472,CLEAN,SYNTHETIC_GENERATOR,2025-02-04T06:15:00Z
2025-02-05,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,100.940691,2.329462,85.507713,,100.83975,101.041632,100.940691,CLEAN,SYNTHETIC_GENERATOR,2025-02-05T06:15:00Z
2025-02-06,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,102.016755,2.350734,85.167362,,101.914738,102.118772,102.016755,CLEAN,SYNTHETIC_GENERATOR,2025-02-06T06:15:00Z
2025-02-07,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,101.425208,2.33431,86.515933,,101.323783,101.526633,101.425208,CLEAN,SYNTHETIC_GENERATOR,2025-02-07T06:15:00Z
2025-02-10,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,101.02572,2.358096,85.468311,,100.924694,101.126746,101.02572,CLEAN,SYNTHETIC_GENERATOR,2025-02-10T06:15:00Z
2025-02-11,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,99.698482,2.381367,85.931343,,99.598783,99.79818,99.698482,CLEAN,SYNTHETIC_GENERATOR,2025-02-11T06:15:00Z
2025-02-12,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,100.286845,2.385731,86.143827,,100.186558,100.387132,100.286845,CLEAN,SYNTHETIC_GENERATOR,2025-02-12T06:15:00Z
2025-02-13,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,100.655444,2.434483,86.47011,,100.554788,100.756099,100.655444,CLEAN,SYNTHETIC_GENERATOR,2025-02-13T06:15:00Z
2025-02-14,DEMO-CORP-015,Synthetic SGD corporate bond,CREDIT,101.272481,2.463214,86.774829,,101.171208,101.373753,101.272481,CLEAN,SYNTHETIC_GENERATOR,2025-02-14T06:15:00Z
2025-01-14,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,109.713714,2.381024,89.061563,,109.604,109.823427,109.713714,CLEAN,SYNTHETIC_GENERATOR,2025-01-14T06:15:00Z
2025-01-15,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,110.201554,2.343215,86.452376,,110.091352,110.311755,110.201554,CLEAN,SYNTHETIC_GENERATOR,2025-01-15T06:15:00Z
2025-01-16,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,111.60652,2.309163,86.959688,,111.494914,111.718127,111.60652,CLEAN,SYNTHETIC_GENERATOR,2025-01-16T06:15:00Z
2025-01-17,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,112.158661,2.304772,92.446206,,112.046503,112.27082,112.158661,CLEAN,SYNTHETIC_GENERATOR,2025-01-17T06:15:00Z
2025-01-20,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,113.001413,2.30293,92.696976,,112.888411,113.114414,113.001413,CLEAN,SYNTHETIC_GENERATOR,2025-01-20T06:15:00Z
2025-01-21,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,112.711668,2.276253,91.356896,,112.598956,112.824379,112.711668,CLEAN,SYNTHETIC_GENERATOR,2025-01-21T06:15:00Z
2025-01-22,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,113.084474,2.338904,92.312296,,112.971389,113.197558,113.084474,CLEAN,SYNTHETIC_GENERATOR,2025-01-22T06:15:00Z
2025-01-23,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,113.265677,2.305337,93.514378,,113.152411,113.378942,113.265677,CLEAN,SYNTHETIC_GENERATOR,2025-01-23T06:15:00Z
2025-01-24,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,113.725454,2.299823,93.594496,,113.611729,113.83918,113.725454,CLEAN,SYNTHETIC_GENERATOR,2025-01-24T06:15:00Z
2025-01-27,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,115.36824,2.298053,93.125753,,115.252872,115.483608,115.36824,CLEAN,SYNTHETIC_GENERATOR,2025-01-27T06:15:00Z
2025-01-28,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,115.782254,2.305433,91.575965,,115.666472,115.898037,115.782254,CLEAN,SYNTHETIC_GENERATOR,2025-01-28T06:15:00Z
2025-01-29,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,115.592606,2.344517,94.168112,,115.477013,115.708199,115.592606,CLEAN,SYNTHETIC_GENERATOR,2025-01-29T06:15:00Z
2025-01-30,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,115.54881,2.406148,94.993981,,115.433261,115.664359,115.54881,CLEAN,SYNTHETIC_GENERATOR,2025-01-30T06:15:00Z
2025-01-31,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,113.925905,2.402505,96.384957,,113.811979,114.039831,113.925905,CLEAN,SYNTHETIC_GENERATOR,2025-01-31T06:15:00Z
2025-02-03,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,113.265481,2.479196,93.922867,,113.152216,113.378747,113.265481,CLEAN,SYNTHETIC_GENERATOR,2025-02-03T06:15:00Z
2025-02-04,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,113.081463,2.492361,92.403073,,112.968381,113.194544,113.081463,CLEAN,SYNTHETIC_GENERATOR,2025-02-04T06:15:00Z
2025-02-05,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,113.686076,2.584172,92.037703,,113.57239,113.799762,113.686076,CLEAN,SYNTHETIC_GENERATOR,2025-02-05T06:15:00Z
2025-02-06,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,115.749894,2.588945,97.808605,,115.634144,115.865644,115.749894,CLEAN,SYNTHETIC_GENERATOR,2025-02-06T06:15:00Z
2025-02-07,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,117.638375,2.572645,99.157296,,117.520737,117.756014,117.638375,CLEAN,SYNTHETIC_GENERATOR,2025-02-07T06:15:00Z
2025-02-10,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,116.847738,2.637444,97.86758,,116.730891,116.964586,116.847738,CLEAN,SYNTHETIC_GENERATOR,2025-02-10T06:15:00Z
2025-02-11,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,118.430554,2.671415,98.493709,,118.312124,118.548985,118.430554,CLEAN,SYNTHETIC_GENERATOR,2025-02-11T06:15:00Z
2025-02-12,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,118.737532,2.70494,99.702126,,118.618795,118.85627,118.737532,CLEAN,SYNTHETIC_GENERATOR,2025-02-12T06:15:00Z
2025-02-13,DEMO-CORP-016,Synthetic HKD corporate bond,CREDIT,119.133184,2.718793,106.888767,,119.014051,119.252317,119.133184,CLEAN,SYNTHETIC_GENERATOR,2025-02-13T06:15:00Z
