as_of_date,trade_id,book_id,instrument_id,risk_metric,value,ccy,value_usd,unit,computation_timestamp,notes
2025-02-14,DEMO-016,CREDIT-DEMO-01,DEMO-CORP-016,JTD_USD,-2960000.0,USD,-2960000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-017,CREDIT-DEMO-01,DEMO-CORP-017,DV01,265931.76605,CNH,37550.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-017,CREDIT-DEMO-01,DEMO-CORP-017,Spread01,140933.2129,CNH,19900.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-017,CREDIT-DEMO-01,DEMO-CORP-017,JTD_USD,3070000.0,USD,3070000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-018,CREDIT-DEMO-01,DEMO-CDS-018,CS01_USD,-27300.0,USD,-27300.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-018,CREDIT-DEMO-01,DEMO-CDS-018,JTD_USD,-3180000.0,USD,-3180000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-019,CREDIT-DEMO-01,DEMO-CDS-019,CS01_USD,28150.0,USD,28150.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-019,CREDIT-DEMO-01,DEMO-CDS-019,JTD_USD,3290000.0,USD,3290000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-020,CREDIT-DEMO-01,DEMO-CDS-020,CS01_USD,29000.0,USD,29000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-020,CREDIT-DEMO-01,DEMO-CDS-020,JTD_USD,3400000.0,USD,3400000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-021,FX-DEMO-01,USDJPY,Delta_USD,-10220000.0,USD,-10220000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-022,FX-DEMO-01,EURUSD,Delta_USD,10540000.0,USD,10540000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-023,FX-DEMO-01,USDSGD,Delta_USD,10860000.0,USD,10860000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-024,FX-DEMO-01,AUDUSD,Delta_USD,-11180000.0,USD,-11180000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-025,FX-DEMO-01,USDCNH,Delta_USD,11500000.0,USD,11500000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-026,FX-DEMO-01,USDKRW,Delta_USD,11820000.0,USD,11820000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-027,FX-DEMO-01,USDHKD,Delta_USD,-12140000.0,USD,-12140000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-028,FX-DEMO-01,USDJPY,Delta_USD,12460000.0,USD,12460000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-029,FX-DEMO-01,EURUSD,Delta_USD,12780000.0,USD,12780000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-030,FX-DEMO-01,AUDUSD,Delta_USD,-13100000.0,USD,-13100000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-031,EQD-DEMO-01,NKY-CALL-42000-2025-06,Delta_USD,13420000.0,USD,13420000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-031,EQD-DEMO-01,NKY-CALL-42000-2025-06,Gamma_USD,49900.0,USD,49900.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-031,EQD-DEMO-01,NKY-CALL-42000-2025-06,Vega_USD,32600.0,USD,32600.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-031,EQD-DEMO-01,NKY-CALL-42000-2025-06,Theta_USD,-5875.0,USD,-5875.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-032,EQD-DEMO-01,NKY-PUT-39000-2025-06,Delta_USD,13740000.0,USD,13740000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-032,EQD-DEMO-01,NKY-PUT-39000-2025-06,Gamma_USD,50800.0,USD,50800.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-032,EQD-DEMO-01,NKY-PUT-39000-2025-06,Vega_USD,33200.0,USD,33200.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-032,EQD-DEMO-01,NKY-PUT-39000-2025-06,Theta_USD,-6000.0,USD,-6000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-033,EQD-DEMO-01,HSI-CALL-22000-2025-06,Delta_USD,-14060000.0,USD,-14060000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-033,EQD-DEMO-01,HSI-CALL-22000-2025-06,Gamma_USD,-51700.0,USD,-51700.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-033,EQD-DEMO-01,HSI-CALL-22000-2025-06,Vega_USD,-33800.0,USD,-33800.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-033,EQD-DEMO-01,HSI-CALL-22000-2025-06,Theta_USD,6125.0,USD,6125.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-034,EQD-DEMO-01,NKY-FUT-2025-06,Delta_USD,14380000.0,USD,14380000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-035,EQD-DEMO-01,KOSPI200-FUT-2025-06,Delta_USD,14700000.0,USD,14700000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-036,EQD-DEMO-01,HSI-PUT-19000-2025-06,Delta_USD,-15020000.0,USD,-15020000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-036,EQD-DEMO-01,HSI-PUT-19000-2025-06,Gamma_USD,-54400.0,USD,-54400.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-036,EQD-DEMO-01,HSI-PUT-19000-2025-06,Vega_USD,-35600.0,USD,-35600.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-036,EQD-DEMO-01,HSI-PUT-19000-2025-06,Theta_USD,6500.0,USD,6500.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-037,EQD-DEMO-01,NKY-CALL-41000-2025-06,Delta_USD,15340000.0,USD,15340000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-037,EQD-DEMO-01,NKY-CALL-41000-2025-06,Gamma_USD,55300.0,USD,55300.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-037,EQD-DEMO-01,NKY-CALL-41000-2025-06,Vega_USD,36200.0,USD,36200.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-037,EQD-DEMO-01,NKY-CALL-41000-2025-06,Theta_USD,-6625.0,USD,-6625.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-038,EQD-DEMO-01,KOSPI200-FUT-2025-09,Delta_USD,15660000.0,USD,15660000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-039,EQD-DEMO-01,NKY-FUT-2025-09,Delta_USD,-15980000.0,USD,-15980000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-040,EQD-DEMO-01,HSI-CALL-21000-2025-09,Delta_USD,16300000.0,USD,16300000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-040,EQD-DEMO-01,HSI-CALL-21000-2025-09,Gamma_USD,58000.0,USD,58000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-040,EQD-DEMO-01,HSI-CALL-21000-2025-09,Vega_USD,38000.0,USD,38000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-040,EQD-DEMO-01,HSI-CALL-21000-2025-09,Theta_USD,-7000.0,USD,-7000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
