date,ccy_pair,base_ccy,quote_ccy,spot_rate,source
2025-01-23,EURUSD,EUR,USD,1.102494,SYNTHETIC_GENERATOR
2025-01-24,EURUSD,EUR,USD,1.10362,SYNTHETIC_GENERATOR
2025-01-27,EURUSD,EUR,USD,1.102457,SYNTHETIC_GENERATOR
2025-01-28,EURUSD,EUR,USD,1.103567,SYNTHETIC_GENERATOR
2025-01-29,EURUSD,EUR,USD,1.10393,SYNTHETIC_GENERATOR
2025-01-30,EURUSD,EUR,USD,1.105017,SYNTHETIC_GENERATOR
2025-01-31,EURUSD,EUR,USD,1.100216,SYNTHETIC_GENERATOR
2025-02-03,EURUSD,EUR,USD,1.099074,SYNTHETIC_GENERATOR
2025-02-04,EURUSD,EUR,USD,1.098956,SYNTHETIC_GENERATOR
2025-02-05,EURUSD,EUR,USD,1.095243,SYNTHETIC_GENERATOR
2025-02-06,EURUSD,EUR,USD,1.098252,SYNTHETIC_GENERATOR
2025-02-07,EURUSD,EUR,USD,1.098548,SYNTHETIC_GENERATOR
2025-02-10,EURUSD,EUR,USD,1.096668,SYNTHETIC_GENERATOR
2025-02-11,EURUSD,EUR,USD,1.100193,SYNTHETIC_GENERATOR
2025-02-12,EURUSD,EUR,USD,1.099939,SYNTHETIC_GENERATOR
2025-02-13,EURUSD,EUR,USD,1.097792,SYNTHETIC_GENERATOR
2025-02-14,EURUSD,EUR,USD,1.098495,SYNTHETIC_GENERATOR
2025-01-14,USDCNH,USD,CNH,7.174209,SYNTHETIC_GENERATOR
2025-01-15,USDCNH,USD,CNH,7.167152,SYNTHETIC_GENERATOR
2025-01-16,USDCNH,USD,CNH,7.177256,SYNTHETIC_GENERATOR
2025-01-17,USDCNH,USD,CNH,7.184775,SYNTHETIC_GENERATOR
2025-01-20,USDCNH,USD,CNH,7.201754,SYNTHETIC_GENERATOR
2025-01-21,USDCNH,USD,CNH,7.211977,SYNTHETIC_GENERATOR
2025-01-22,USDCNH,USD,CNH,7.203888,SYNTHETIC_GENERATOR
2025-01-23,USDCNH,USD,CNH,7.19485,SYNTHETIC_GENERATOR
2025-01-24,USDCNH,USD,CNH,7.178285,SYNTHETIC_GENERATOR
2025-01-27,USDCNH,USD,CNH,7.147383,SYNTHETIC_GENERATOR
2025-01-28,USDCNH,USD,CNH,7.139746,SYNTHETIC_GENERATOR
2025-01-29,USDCNH,USD,CNH,7.149736,SYNTHETIC_GENERATOR
2025-01-30,USDCNH,USD,CNH,7.159211,SYNTHETIC_GENERATOR
2025-01-31,USDCNH,USD,CNH,7.161135,SYNTHETIC_GENERATOR
2025-02-03,USDCNH,USD,CNH,7.150982,SYNTHETIC_GENERATOR
2025-02-04,USDCNH,USD,CNH,7.135729,SYNTHETIC_GENERATOR
2025-02-05,USDCNH,USD,CNH,7.117082,SYNTHETIC_GENERATOR
2025-02-06,USDCNH,USD,CNH,7.12153,SYNTHETIC_GENERATOR
2025-02-07,USDCNH,USD,CNH,7.1081,SYNTHETIC_GENERATOR
2025-02-10,USDCNH,USD,CNH,7.082932,SYNTHETIC_GENERATOR
2025-02-11,USDCNH,USD,CNH,7.068652,SYNTHETIC_GENERATOR
2025-02-12,USDCNH,USD,CNH,7.088647,SYNTHETIC_GENERATOR
2025-02-13,USDCNH,USD,CNH,7.083177,SYNTHETIC_GENERATOR
2025-02-14,USDCNH,USD,CNH,7.082071,SYNTHETIC_GENERATOR
2025-01-14,USDHKD,USD,HKD,7.82021,SYNTHETIC_GENERATOR
2025-01-15,USDHKD,USD,HKD,7.809385,SYNTHETIC_GENERATOR
2025-01-16,USDHKD,USD,HKD,7.813899,SYNTHETIC_GENERATOR
2025-01-17,USDHKD,USD,HKD,7.819616,SYNTHETIC_GENERATOR
2025-01-20,USDHKD,USD,HKD,7.81565,SYNTHETIC_GENERATOR
2025-01-21,USDHKD,USD,HKD,7.84185,SYNTHETIC_GENERATOR
2025-01-22,USDHKD,USD,HKD,7.86149,SYNTHETIC_GENERATOR
2025-01-23,USDHKD,USD,HKD,7.856839,SYNTHETIC_GENERATOR
2025-01-24,USDHKD,USD,HKD,7.844556,SYNTHETIC_GENERATOR
2025-01-27,USDHKD,USD,HKD,7.882031,SYNTHETIC_GENERATOR
2025-01-28,USDHKD,USD,HKD,7.866056,SYNTHETIC_GENERATOR
2025-01-29,USDHKD,USD,HKD,7.862915,SYNTHETIC_GENERATOR
2025-01-30,USDHKD,USD,HKD,7.865532,SYNTHETIC_GENERATOR
2025-01-31,USDHKD,USD,HKD,7.853693,SYNTHETIC_GENERATOR
2025-02-03,USDHKD,USD,HKD,7.856614,SYNTHETIC_GENERATOR
2025-02-04,USDHKD,USD,HKD,7.849135,SYNTHETIC_GENERATOR
2025-02-05,USDHKD,USD,HKD,7.83964,SYNTHETIC_GENERATOR
2025-02-06,USDHKD,USD,HKD,7.828022,SYNTHETIC_GENERATOR
2025-02-07,USDHKD,USD,HKD,7.818412,SYNTHETIC_GENERATOR
2025-02-10,USDHKD,USD,HKD,7.807569,SYNTHETIC_GENERATOR
2025-02-11,USDHKD,USD,HKD,7.812034,SYNTHETIC_GENERATOR
2025-02-12,USDHKD,USD,HKD,7.817752,SYNTHETIC_GENERATOR
2025-02-13,USDHKD,USD,HKD,7.865777,SYNTHETIC_GENERATOR
2025-02-14,USDHKD,USD,HKD,7.864924,SYNTHETIC_GENERATOR
2025-01-14,USDJPY,USD,JPY,144.769345,SYNTHETIC_GENERATOR
2025-01-15,USDJPY,USD,JPY,144.697494,SYNTHETIC_GENERATOR
2025-01-16,USDJPY,USD,JPY,144.786787,SYNTHETIC_GENERATOR
2025-01-17,USDJPY,USD,JPY,144.80743,SYNTHETIC_GENERATOR
2025-01-20,USDJPY,USD,JPY,144.693843,SYNTHETIC_GENERATOR
2025-01-21,USDJPY,USD,JPY,144.195715,SYNTHETIC_GENERATOR
2025-01-22,USDJPY,USD,JPY,144.625166,SYNTHETIC_GENERATOR
2025-01-23,USDJPY,USD,JPY,143.604788,SYNTHETIC_GENERATOR
2025-01-24,USDJPY,USD,JPY,143.600969,SYNTHETIC_GENERATOR
2025-01-27,USDJPY,USD,JPY,143.996908,SYNTHETIC_GENERATOR
2025-01-28,USDJPY,USD,JPY,144.731999,SYNTHETIC_GENERATOR
2025-01-29,USDJPY,USD,JPY,144.691534,SYNTHETIC_GENERATOR
2025-01-30,USDJPY,USD,JPY,144.776418,SYNTHETIC_GENERATOR
2025-01-31,USDJPY,USD,JPY,144.770424,SYNTHETIC_GENERATOR
2025-02-03,USDJPY,USD,JPY,144.225397,SYNTHETIC_GENERATOR
2025-02-04,USDJPY,USD,JPY,144.258208,SYNTHETIC_GENERATOR
2025-02-05,USDJPY,USD,JPY,144.107246,SYNTHETIC_GENERATOR
2025-02-06,USDJPY,USD,JPY,144.088787,SYNTHETIC_GENERATOR
2025-02-07,USDJPY,USD,JPY,144.013127,SYNTHETIC_GENERATOR
2025-02-10,USDJPY,USD,JPY,144.496332,SYNTHETIC_GENERATOR
2025-02-11,USDJPY,USD,JPY,144.762315,SYNTHETIC_GENERATOR
2025-02-12,USDJPY,USD,JPY,145.044756,SYNTHETIC_GENERATOR
2025-02-13,USDJPY,USD,JPY,145.371582,SYNTHETIC_GENERATOR
2025-02-14,USDJPY,USD,JPY,145.0614,SYNTHETIC_GENERATOR
2025-01-14,USDKRW,USD,KRW,1324.59411,SYNTHETIC_GENERATOR
2025-01-15,USDKRW,USD,KRW,1328.827472,SYNTHETIC_GENERATOR
2025-01-16,USDKRW,USD,KRW,1329.250505,SYNTHETIC_GENERATOR
2025-01-17,USDKRW,USD,KRW,1328.74666,SYNTHETIC_GENERATOR
2025-01-20,USDKRW,USD,KRW,1328.671128,SYNTHETIC_GENERATOR
2025-01-21,USDKRW,USD,KRW,1326.94347,SYNTHETIC_GENERATOR
2025-01-22,USDKRW,USD,KRW,1319.63481,SYNTHETIC_GENERATOR
2025-01-23,USDKRW,USD,KRW,1322.67564,SYNTHETIC_GENERATOR
2025-01-24,USDKRW,USD,KRW,1318.825092,SYNTHETIC_GENERATOR
2025-01-27,USDKRW,USD,KRW,1320.584432,SYNTHETIC_GENERATOR
2025-01-28,USDKRW,USD,KRW,1316.998234,SYNTHETIC_GENERATOR
2025-01-29,USDKRW,USD,KRW,1314.772126,SYNTHETIC_GENERATOR
2025-01-30,USDKRW,USD,KRW,1311.984321,SYNTHETIC_GENERATOR
2025-01-31,USDKRW,USD,KRW,1314.299921,SYNTHETIC_GENERATOR
2025-02-03,USDKRW,USD,KRW,1315.170437,SYNTHETIC_GENERATOR
2025-02-04,USDKRW,USD,KRW,1308.716584,SYNTHETIC_GENERATOR
2025-02-05,USDKRW,USD,KRW,1310.638349,SYNTHETIC_GENERATOR
2025-02-06,USDKRW,USD,KRW,1312.211364,SYNTHETIC_GENERATOR
2025-02-07,USDKRW,USD,KRW,1314.261991,SYNTHETIC_GENERATOR
2025-02-10,USDKRW,USD,KRW,1318.405571,SYNTHETIC_GENERATOR
2025-02-11,USDKRW,USD,KRW,1314.216502,SYNTHETIC_GENERATOR
2025-02-12,USDKRW,USD,KRW,1312.125687,SYNTHETIC_GENERATOR
2025-02-13,USDKRW,USD,KRW,1318.763738,SYNTHETIC_GENERATOR
2025-02-14,USDKRW,USD,KRW,1314.363245,SYNTHETIC_GENERATOR
2025-01-14,USDSGD,USD,SGD,1.35165,SYNTHETIC_GENERATOR
2025-01-15,USDSGD,USD,SGD,1.352721,SYNTHETIC_GENERATOR
2025-01-16,USDSGD,USD,SGD,1.353484,SYNTHETIC_GENERATOR
2025-01-17,USDSGD,USD,SGD,1.356966,SYNTHETIC_GENERATOR
2025-01-20,USDSGD,USD,SGD,1.359916,SYNTHETIC_GENERATOR
2025-01-21,USDSGD,USD,SGD,1.356936,SYNTHETIC_GENERATOR
2025-01-22,USDSGD,USD,SGD,1.361124,SYNTHETIC_GENERATOR
2025-01-23,USDSGD,USD,SGD,1.36554,SYNTHETIC_GENERATOR
2025-01-24,USDSGD,USD,SGD,1.362805,SYNTHETIC_GENERATOR
2025-01-27,USDSGD,USD,SGD,1.361731,SYNTHETIC_GENERATOR
2025-01-28,USDSGD,USD,SGD,1.364502,SYNTHETIC_GENERATOR
2025-01-29,USDSGD,USD,SGD,1.361673,SYNTHETIC_GENERATOR
2025-01-30,USDSGD,USD,SGD,1.357997,SYNTHETIC_GENERATOR
2025-01-31,USDSGD,USD,SGD,1.358498,SYNTHETIC_GENERATOR
2025-02-03,USDSGD,USD,SGD,1.359333,SYNTHETIC_GENERATOR
2025-02-04,USDSGD,USD,SGD,1.364476,SYNTHETIC_GENERATOR
2025-02-05,USDSGD,USD,SGD,1.367159,SYNTHETIC_GENERATOR
2025-02-06,USDSGD,USD,SGD,1.372156,SYNTHETIC_GENERATOR
2025-02-07,USDSGD,USD,SGD,1.370956,SYNTHETIC_GENERATOR
2025-02-10,USDSGD,USD,SGD,1.37111,SYNTHETIC_GENERATOR
2025-02-11,USDSGD,USD,SGD,1.366419,SYNTHETIC_GENERATOR
2025-02-12,USDSGD,USD,SGD,1.368941,SYNTHETIC_GENERATOR
2025-02-13,USDSGD,USD,SGD,1.370821,SYNTHETIC_GENERATOR
2025-02-14,USDSGD,USD,SGD,1.370366,SYNTHETIC_GENERATOR
